Year    Jan     Feb     Mar     Apr     May     Jun       Jul     Aug     Sep     Oct     Nov     Dec       Winter Season
Jan-Feb Pre-Monsoon Season
Mar-May Monsoon Season
Jun-Sep Post-Monsoon Season
Oct-Dec Annual
1961    18.4582 18.8586 25.0719 28.1111 30.1504 28.9972   27.2593 27.0832 26.5877 24.6794 20.8485 17.2157   18.6584 27.7778 27.4818 20.9094 24.4430
1962    16.8761 20.2151 24.0190 28.0687 29.9750 29.6411   27.9862 27.0193 26.4052 24.4432 21.2895 18.4761   18.5169 27.3349 27.7499 21.3812 24.4810
1963    17.2516 20.8411 24.0419 27.2584 29.5548 29.3922   27.9283 26.9539 26.7669 25.4441 22.2610 18.8708   19.0464 26.8812 27.7572 22.1919 24.6910
1964    17.3103 20.1826 25.3749 28.6094 29.9494 29.6212   27.1153 26.9173 26.4933 25.4590 21.0589 18.3864   18.7465 27.9779 27.5368 21.6227 24.7046
1965    18.6064 20.0961 23.5257 26.8239 29.6939 30.1478   27.5742 27.0279 26.8222 25.7904 22.2635 18.6287   19.3513 26.6812 27.8930 22.2511 24.7569
1966    18.3521 21.6204 24.4003 28.2922 30.3687 29.5477   28.2604 27.1926 26.6836 25.5300 22.3843 18.2952   19.9863 27.6430 27.9171 22.0698 25.0756
1967    17.6350 21.1721 23.3061 27.4024 30.0280 29.9164   27.6000 26.7751 26.6547 25.0210 21.4670 19.2206   19.4036 26.9122 27.7366 21.9029 24.6832
1968    17.1921 19.1818 23.8601 27.3558 29.8077 29.7291   27.6000 27.1388 27.4810 24.9725 21.6842 18.6695   18.1869 27.0079 27.9872 21.7754 24.5560
1969    17.8908 20.7613 25.8735 28.6002 29.8301 30.2075   27.8086 27.0376 26.7589 25.5848 22.6270 18.8654   19.3261 28.1013 27.9531 22.3591 25.1538
1970    18.1792 20.2577 24.0775 28.6707 30.6706 28.6621   27.6701 26.9876 26.6427 25.4334 21.0667 17.9541   19.2185 27.8063 27.4906 21.4847 24.6894
1971    17.5261 20.0882 23.9216 27.9172 29.0600 28.0548   27.0478 26.6346 26.7873 24.9399 20.9402 18.1919   18.8071 26.9755 27.1311 21.3467 24.2582
1972    17.8787 18.6355 24.6659 27.4548 30.3837 30.4987   27.9740 27.1385 26.8006 25.2304 21.8992 19.1813   18.2571 27.4956 28.1030 22.1093 24.7824
1973    18.2379 21.2584 24.3788 29.5239 30.8015 29.6494   27.7284 26.7969 26.6374 24.9882 21.3172 18.0752   19.7482 28.2348 27.7030 21.4602 24.9494
1974    17.4526 19.5282 25.0843 28.6952 29.8090 29.3943   27.5779 27.2153 27.1541 25.5273 21.2670 17.5727   18.4904 27.8628 27.8354 21.5282 24.7025
1975    17.0546 19.7686 23.8694 28.4604 30.4950 29.1824   26.8984 26.8268 26.2073 25.3081 20.3024 17.9105   18.4343 27.5665 27.2870 21.1429 24.3363
1976    17.6327 19.9947 24.1111 27.5045 29.7857 29.0225   27.6656 26.4964 26.4969 25.7171 23.0844 19.0216   18.8527 27.1406 27.4064 22.6077 24.7318
1977    17.7250 20.6341 25.7116 27.8472 28.9377 29.1673   27.3280 27.0459 26.7099 25.5153 22.9879 18.8027   19.2251 27.4989 27.5555 22.4353 24.8737
1978    17.3295 19.6431 23.1518 27.9876 31.0900 29.3923   27.0678 26.8659 26.5938 25.5372 22.4594 18.8336   18.5309 27.4098 27.4681 22.2756 24.6617
1979    18.6487 19.6718 23.4515 28.6623 29.6476 30.5141   28.0966 27.3682 27.0855 25.8839 23.2580 19.2596   19.1603 27.2538 28.2525 22.8005 25.1151
1980    18.2851 20.8044 24.2531 29.2824 30.9962 29.1366   27.5417 27.1170 27.2129 25.8773 22.2681 18.8993   19.5448 28.1772 27.7521 22.3424 25.1388
1981    17.8322 20.6778 23.8408 28.0213 30.0105 30.0856   27.4297 27.0435 27.0752 25.4133 21.2005 18.2949   19.2243 27.2909 27.9085 21.6306 24.7419
1982    18.5750 19.6345 23.0291 27.2670 29.1820 29.5671   28.4793 27.1631 27.0225 25.7629 21.9110 18.9869   19.1047 26.4927 28.0580 22.2202 24.7150
1983    17.6238 19.5744 23.7086 26.7669 29.5283 30.1174   27.9647 27.1883 26.8453 24.9212 21.0646 18.2942   18.5789 26.6679 28.0289 21.4267 24.4147
1984    17.6408 19.0936 24.8972 28.3283 30.9397 29.3564   27.2350 26.9350 26.2358 25.1818 21.2174 18.8801   18.3672 28.0499 27.4483 21.7598 24.6573
1985    18.2793 20.3535 25.6428 28.3364 30.4536 29.3798   27.1745 26.9948 26.8812 24.6287 21.5577 19.3657   19.3164 28.1443 27.6076 21.8507 24.9134
1986    18.0205 19.9819 24.2966 28.0505 29.5376 29.5395   27.4848 26.9550 27.0631 25.2321 22.3412 18.6124   18.9492 27.2618 27.7470 22.0619 24.7093
1987    18.3409 20.7510 24.3108 28.2848 29.1465 30.5179   28.7514 27.8269 27.8005 25.9561 22.3750 19.0395   19.5460 27.2474 28.7242 22.4569 25.2733
1988    18.8555 21.3509 24.3812 28.6019 31.0471 29.8228   27.4216 27.1287 27.2890 25.5168 21.9358 19.3243   20.1032 28.0101 27.9155 22.2589 25.2229
1989    17.6366 20.0838 23.8751 27.8015 30.5884 28.8997   27.4683 27.0696 27.0646 25.7913 22.2114 18.5463   18.8602 27.4217 27.6255 22.1830 24.7530
1990    19.0066 20.4963 23.2359 27.7148 29.5857 29.0449   27.2523 27.1243 26.8018 25.0549 22.3959 19.1587   19.7514 26.8455 27.5559 22.2031 24.7393
1991    17.7271 20.8423 24.6196 27.6117 30.3242 29.4190   28.0858 27.0607 27.0572 25.2699 21.5114 18.6839   19.2847 27.5185 27.9057 21.8217 24.8511
1992    17.7768 19.7434 24.2659 27.8160 29.8058 30.0283   27.9916 27.0382 26.6416 25.2891 21.9437 18.7368   18.7601 27.2959 27.9249 21.9899 24.7564
1993    18.0268 20.7734 23.5311 27.8682 30.4863 29.7893   27.8541 27.4672 26.7087 25.5668 22.1993 18.8262   19.4001 27.2952 27.9548 22.1974 24.9248
1994    18.6504 20.1106 24.9059 27.5236 30.5507 29.5203   27.4243 26.9818 26.7073 25.1494 21.8784 18.5595   19.3805 27.6601 27.6584 21.8624 24.8302
1995    17.4625 20.3767 24.1245 27.8355 30.1024 30.4186   27.8069 27.2759 27.0634 25.6359 22.0829 18.9828   18.9196 27.3542 28.1412 22.2339 24.9307
1996    18.1832 20.6806 24.9341 28.0266 30.2509 29.5229   27.8541 26.8925 27.0607 25.1788 21.9234 18.5436   19.4319 27.7372 27.8325 21.8819 24.9209
1997    17.4746 20.0441 24.4618 27.1815 29.8176 29.4806   28.1300 27.2729 27.0835 25.1737 22.3494 18.8003   18.7593 27.1536 27.9918 22.1078 24.7725
1998    18.0877 20.5807 23.9826 28.4044 30.9048 30.1199   28.0276 27.6391 27.1677 25.8263 22.3706 18.9046   19.3342 27.7639 28.2386 22.3672 25.1680
1999    17.7632 20.9967 24.9155 29.0547 29.9429 29.0228   27.8626 27.2182 27.1631 25.5967 22.3919 18.9767   19.3799 27.9711 27.8164 22.3218 25.0698
2000    18.3279 19.9420 24.1604 28.8297 30.0913 28.9049   27.4519 27.2984 27.0606 26.1396 22.6234 18.9869   19.1350 27.6938 27.6795 22.5833 24.9794
2001    18.0625 20.7408 24.7634 28.1456 30.4058 28.8670   27.5604 27.3196 27.2013 25.8768 22.5249 19.1961   19.4017 27.7716 27.7377 22.5326 25.0501
2002    18.0668 20.5070 25.0371 28.5437 30.5830 29.4811   28.1895 27.4201 26.9258 25.7823 22.3660 19.4116   19.2869 28.0546 28.0046 22.5199 25.1876
2003    17.8009 20.6571 24.7423 28.4882 30.3115 29.7028   27.6963 27.2896 26.9879 25.3451 22.1761 19.0660   19.2290 27.8473 27.9201 22.1958 25.0169
2004    17.8867 20.6908 25.8863 28.5763 30.0409 29.1198   27.8861 27.1771 27.2142 24.9828 22.2705 19.2536   19.2887 28.1678 27.8470 22.1690 25.0766
2005    18.0640 20.5714 24.8885 27.9033 30.0307 30.1269   27.7041 27.3910 27.1942 25.3522 21.8687 18.7312   19.3177 27.6075 28.1003 21.9840 24.9799
2006    18.3248 21.8260 24.5087 28.1715 30.3112 29.2036   27.9751 27.1344 26.9626 25.8049 22.4242 19.2653   20.0754 27.6638 27.8145 22.4982 25.1537
2007    18.2991 20.6912 24.3229 28.6665 30.4668 29.4010   27.9624 27.4335 27.0388 25.4711 22.4741 19.0778   19.4952 27.8187 27.9535 22.3410 25.1029
2008    17.8505 19.6809 25.1156 27.9736 30.1482 28.6796   27.8309 27.1109 26.9330 25.9036 22.4457 20.0275   18.7657 27.7458 27.6358 22.7878 24.9727
2009    18.9432 21.6010 25.1600 28.6361 30.4640 30.2346   28.1943 27.8527 27.4927 25.6534 22.2430 19.3949   20.2721 28.0867 28.4436 22.4304 25.4891
2010    18.0691 21.0871 26.2300 29.5928 30.9589 29.8508   28.0281 27.4948 26.9231 26.0405 22.8694 18.6747   19.5781 28.9272 28.0709 22.5282 25.4804
2011    17.3511 20.6986 24.8257 27.6133 30.5144 29.3510   27.9115 27.2234 26.8958 25.8630 22.6257 19.0776   19.0113 27.6299 27.8454 22.5221 24.9695
2012    17.4972 20.1722 24.4890 28.2178 30.5943 30.2876   28.1078 27.0871 26.8250 25.2363 21.8690 19.2462   18.8347 27.7438 28.0769 22.1172 24.9473
