Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Season,Winter_Avg,Summer_Avg,Monsoon_Avg,Post_Monsoon_Avg,Annual_Avg,Is_Extreme,Decade,Anomaly
1984,17.6408,19.0936,24.8972,28.3283,30.9397,29.3564,27.235,26.935,26.2358,25.1818,21.2174,18.8801,18.3672,28.0499,18.5382,28.0551,27.4406,23.1996,24.6618,False,1980,0.0986
1985,18.2793,20.3535,25.6428,28.3364,30.4536,29.3798,27.1745,26.9948,26.8812,24.6287,21.5577,19.3657,19.3164,28.1443,19.3328,28.1443,27.6076,23.0932,24.9207,False,1980,0.3575
1986,18.0205,19.9819,24.2966,28.0505,29.5376,29.5395,27.4848,26.955,27.0631,25.2321,22.3412,18.6124,18.9492,27.2618,18.8716,27.2949,27.7606,23.7867,24.7596,False,1980,0.1964
1987,18.3409,20.751,24.3108,28.2848,29.1465,30.5179,28.7514,27.8269,27.8005,25.9561,22.375,19.0395,19.546,27.2474,19.3771,27.2474,28.7242,24.1656,25.2584,True,1980,0.6952
1988,18.8555,21.3509,24.3812,28.6019,31.0471,29.8228,27.4216,27.1287,27.289,25.5168,21.9358,19.3243,20.1032,28.0101,19.8436,28.0101,27.9155,23.7263,25.223,True,1980,0.6598
1989,17.6366,20.0838,23.8751,27.8015,30.5884,28.8997,27.4683,27.0696,27.0646,25.7913,22.2114,18.5463,18.8602,27.4217,18.7556,27.4217,27.6256,24.0014,24.753,False,1980,0.1898
1990,19.0066,20.4963,23.2359,27.7148,29.5857,29.0449,27.2523,27.1243,26.8018,25.0549,22.3959,19.1587,19.7514,26.8455,19.5539,26.8455,27.5558,23.7254,24.7393,False,1990,0.1761
1991,17.7271,20.8423,24.6196,27.6117,30.3242,29.419,28.0858,27.0607,27.0572,25.2699,21.5114,18.6839,19.2847,27.5185,19.0844,27.5185,27.9057,23.3906,24.8511,False,1990,0.2879
1992,17.7768,19.7434,24.2659,27.816,29.8058,30.0283,27.9916,27.0382,26.6416,25.2891,21.9437,18.7368,18.7601,27.2959,18.7523,27.2959,27.9249,23.6164,24.7564,False,1990,0.1932
1993,18.0268,20.7734,23.5311,27.8682,30.4863,29.7893,27.8541,27.4672,26.7087,25.5668,22.1993,18.8262,19.4001,27.2952,19.2088,27.2952,27.9548,23.883,24.9248,False,1990,0.3616
1994,18.6504,20.1106,24.9059,27.5236,30.5507,29.5203,27.4243,26.9818,26.7073,25.1494,21.8784,18.5595,19.3805,27.6601,19.1068,27.6601,27.6584,23.5139,24.8302,False,1990,0.267
1995,17.4625,20.3767,24.1245,27.8355,30.1024,30.4186,27.8069,27.2759,27.0634,25.6359,22.0829,18.9828,18.9196,27.3542,18.9407,27.3541,28.1412,23.8594,24.9307,False,1990,0.3675
1996,18.1832,20.6806,24.9341,28.0266,30.2509,29.5229,27.8541,26.8925,27.0607,25.1788,21.9234,18.5436,19.4319,27.7372,19.1358,27.7372,27.8326,23.5511,24.921,False,1990,0.3578
1997,17.4746,20.0441,24.4618,27.1815,29.8176,29.4806,28.13,27.2729,27.0835,25.1737,22.3494,18.8003,18.7593,27.1536,18.773,27.1536,27.9918,23.7616,24.7725,False,1990,0.2093
1998,18.0877,20.5807,23.9826,28.4044,30.9048,30.1199,28.0276,27.6391,27.1677,25.8263,22.3706,18.9046,19.3342,27.7639,19.191,27.7639,28.2386,24.0984,25.168,True,1990,0.6048
1999,17.7632,20.9967,24.9155,29.0547,29.9429,29.0228,27.8626,27.2182,27.1631,25.5967,22.3919,18.9767,19.3799,27.9711,19.2455,27.971,27.8167,23.9943,25.0754,False,1990,0.5122
2000,18.3279,19.942,24.1604,28.8297,30.0913,28.9049,27.4519,27.2984,27.0606,26.1396,22.6234,18.9869,19.135,27.6938,19.0856,27.6938,27.679,24.3815,24.9848,False,2000,0.4216
2001,18.0625,20.7408,24.7634,28.1456,30.4058,28.867,27.5604,27.3196,27.2013,25.8768,22.5249,19.1961,19.4017,27.7716,19.3331,27.7716,27.7371,24.2008,25.0554,False,2000,0.4922
2002,18.0668,20.507,25.0371,28.5437,30.583,29.4811,28.1895,27.4201,26.9258,25.7823,22.366,19.4116,19.2869,28.0546,19.3285,28.0546,28.0041,24.0742,25.1928,True,2000,0.6296
2003,17.8009,20.6571,24.7423,28.4882,30.3115,29.7028,27.6963,27.2896,26.9879,25.3451,22.1761,19.066,19.229,27.8473,19.1747,27.8473,27.9192,23.7606,25.022,False,2000,0.4588
2004,17.8867,20.6908,25.8863,28.5763,30.0409,29.1198,27.8861,27.1771,27.2142,24.9828,22.2705,19.2536,19.2887,28.1678,19.277,28.1678,27.8493,23.6266,25.0821,False,2000,0.5189
2005,18.064,20.5714,24.8885,27.9033,30.0307,30.1269,27.7041,27.391,27.1942,25.3522,21.8687,18.7312,19.3177,27.6075,19.1222,27.6075,28.104,23.6104,24.9855,False,2000,0.4223
2006,18.3248,21.826,24.5087,28.1715,30.3112,29.2036,27.9751,27.1344,26.9626,25.8049,22.4242,19.2653,20.0754,27.6638,19.8054,27.6638,27.8189,24.1146,25.1594,True,2000,0.5962
2007,18.2991,20.6912,24.3229,28.6665,30.4668,29.401,27.9624,27.4335,27.0388,25.4711,22.4741,19.0778,19.4952,27.8187,19.356,27.8187,27.9589,23.9726,25.1088,False,2000,0.5456
2008,17.8505,19.6809,25.1156,27.9736,30.1482,28.6796,27.8309,27.1109,26.933,25.9036,22.4457,20.0275,18.7657,27.7458,19.1863,27.7458,27.6386,24.1746,24.975,False,2000,0.4118
2009,18.9432,21.601,25.16,28.6361,30.464,30.2346,28.1943,27.8527,27.4927,25.6534,22.243,19.3949,20.2721,28.0867,19.9797,28.0867,28.4436,23.9482,25.4892,True,2000,0.926
2010,18.0691,21.0871,26.23,29.5928,30.9589,29.8508,28.0281,27.4948,26.9231,26.0405,22.8694,18.6747,19.5781,28.9272,19.277,28.9272,28.0742,24.455,25.4849,True,2010,0.9217
2011,17.3511,20.6986,24.8257,27.6133,30.5144,29.351,27.9115,27.2234,26.8958,25.863,22.6257,19.0776,19.0113,27.6299,19.0424,27.6511,27.8454,24.2443,24.9959,False,2010,0.4327
2012,17.4972,20.1722,24.489,28.2178,30.5943,30.2876,28.1078,27.0871,26.825,25.2363,21.869,19.2462,18.8347,27.7438,18.9719,27.767,28.0769,23.5526,24.9691,False,2010,0.4059
2013,17.9398,20.7939,24.8891,28.0778,30.8888,29.1089,27.6233,27.0838,27.3465,25.7179,21.8325,18.8874,19.3668,27.9277,19.207,27.9519,27.7906,23.7752,25.0158,False,2010,0.4526
2014,18.0975,19.938,23.8917,28.2547,30.0059,30.6739,28.3767,27.6581,27.022,25.9676,22.5918,18.6218,19.0178,27.3602,18.8858,27.3841,28.4327,24.2797,25.0916,False,2010,0.5284
2015,17.9858,21.2186,24.0652,27.6559,30.6943,29.3,28.3823,27.6763,27.6759,26.4847,23.0356,19.4948,19.6022,27.4475,19.5664,27.4718,28.2586,24.7602,25.3058,True,2010,0.7426
2016,18.8581,21.9876,25.7622,29.4831,30.6623,30.0489,27.7954,27.5311,27.2824,25.9806,22.3218,19.8519,20.4229,28.6359,20.2325,28.6359,28.1644,24.1512,25.6304,True,2010,1.0672
2017,18.4447,21.5453,24.6965,29.1154,30.8486,29.5501,27.8896,27.6331,27.6852,26.5229,22.2764,19.4577,19.995,28.2201,19.8159,28.2202,28.1895,24.3996,25.4721,True,2010,0.9089
2018,18.3288,21.4452,25.5966,28.5847,30.5347,29.8662,27.8978,27.3493,27.1646,25.8406,22.6524,18.6815,19.887,28.2387,19.4852,28.2387,28.0695,24.2465,25.3285,True,2010,0.7653
2019,17.9152,20.5199,24.3576,28.9504,30.6512,30.7165,28.4163,27.5964,27.2329,25.531,22.8016,18.5412,19.2176,27.9864,18.9921,27.9864,28.4905,24.1663,25.2692,True,2010,0.706
2020,17.8991,20.5327,24.0553,28.0259,30.1196,29.1555,28.4407,27.6847,27.7708,26.4147,22.174,19.2556,19.2159,27.4003,19.2291,27.4003,28.2629,24.2944,25.1274,False,2020,0.5642
2021,18.7399,21.3393,25.7727,28.4454,29.2635,29.0389,28.363,27.7521,27.4259,26.2037,22.3001,19.0719,20.0396,27.8272,19.717,27.8272,28.145,24.2519,25.3097,True,2020,0.7465
2022,17.8514,20.1696,26.2737,29.73,30.4304,29.9451,27.9132,27.5964,27.4371,25.542,22.3108,19.9536,19.0105,28.8114,19.3249,28.8114,28.223,23.9264,25.4294,True,2020,0.8662
2023,18.258,21.9006,24.6432,27.8429,29.3957,30.1488,28.1433,28.0053,27.934,26.2356,23.1552,19.9438,20.0793,27.2939,20.0341,27.2939,28.5578,24.6954,25.4672,True,2020,0.904
2024,18.3748,21.1022,24.9235,29.0582,31.075,30.5463,28.6501,27.7915,27.8783,26.9184,23.1391,19.4597,19.7385,28.3522,19.6456,28.3522,28.7166,25.0288,25.7431,True,2020,1.1799
